model,dataset,enc in,history,horizon,project nodes,predict nonlinear,adj,mae mean,mae std,mse mean,mse std
NaiveEstimator,ILI,7,96,96,False,False,graph wavenet,1.6909924964952936,0.011048659818752766,5.680957952976849,0.10317805848452374
NaiveEstimator,ILI,7,96,96,False,True,graph wavenet,1.6370263233427458,0.015108773063568089,5.303452573959641,0.08054788005000339
NaiveEstimator,ILI,7,96,96,True,False,graph wavenet,1.6131780409410073,0.005128888675998164,5.2389781246936336,0.03492396412482141
NaiveEstimator,ILI,7,96,96,True,True,graph wavenet,1.6168075306129537,0.009285522392828923,5.268816280029155,0.03840037834378712
NaiveEstimator,ILI,7,96,96,False,False,dynamic attention,1.7086457679795495,0.021522659940414284,5.700749433413098,0.12379194614503766
NaiveEstimator,ILI,7,96,96,False,True,dynamic attention,1.6437186919951217,0.00997186135949457,5.316959713946673,0.053572636253379026
NaiveEstimator,ILI,7,96,96,True,False,dynamic attention,1.6172092922445587,0.00979225201215954,5.255227864878944,0.09831305835083262
NaiveEstimator,ILI,7,96,96,True,True,dynamic attention,1.6259788604122698,0.011514340553471772,5.260190806379442,0.10543415025181022
NaiveEstimator,ILI,7,96,96,False,False,multihead attention,1.6838955975994068,0.006253129487628478,5.534134459388808,0.01709781359212205
NaiveEstimator,ILI,7,96,96,False,True,multihead attention,1.6403774706253025,0.008785924379214972,5.316610606921332,0.05889724965800439
NaiveEstimator,ILI,7,96,96,True,False,multihead attention,1.6365473542726903,0.017823200132207003,5.426974106357074,0.1695915877350949
NaiveEstimator,ILI,7,96,96,True,True,multihead attention,1.6222559680863724,0.009558014992820421,5.249881941302127,0.05500053304161045
NaiveEstimator,exchange rate,8,96,96,False,False,identity,1.4801879881298112,0.004294698206925851,3.183410192444414,0.014473227093835715
NaiveEstimator,exchange rate,8,96,96,False,True,identity,1.4756590239957594,0.018518529887250744,3.157543402050641,0.06383654265837285
NaiveEstimator,exchange rate,8,96,96,True,False,identity,1.6159372181449894,0.01528602045581692,3.7383423961852578,0.06446894271019783
NaiveEstimator,exchange rate,8,96,96,True,True,identity,1.5779298072340242,0.07070797016215691,3.7016362802611993,0.23850113583768187
